,Lugar,Grabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20160112,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.7080381031,0.6177897879,-0.5947359919,0.1668578319,0.901833488,1.1743935183,-0.7908340014,-0.7992452355,0.1576428977,-0.9011103023,-0.0708676864,-0.6683148461,-0.9981464303,0.5241650446,0.4360443804,-0.0004509497,0.084227384,-0.5768911154,1.0966489091,0.8489371429,0.6451560373,-0.0096026709,0.3132733085,-0.02291794,0.2782919365,0.500352907,1.0449364167,1.0963535504,0.8884087409
20160113,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.747613039,0.589570444,-0.7864556439,-0.2003018572,0.9061801516,1.3173903445,-1.1632958716,-0.8624333293,0.1646818629,-0.9033738165,-0.0090017903,-0.674111023,-0.9981464303,0.5780285102,0.7577906998,0.0543674837,0.0903290308,-0.5608037113,0.8184744608,0.8107003218,0.5643022312,0.1015161774,0.3019425228,-0.1105460214,0.6461564477,0.7326760763,1.0201375999,1.1045196624,1.0089484644
20160114,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.6000340912,0.2874318867,-0.7948111792,-0.1148460252,0.9075413116,1.1780604017,-0.7679371909,-0.8642625059,0.1649014022,-0.8201765935,-0.057802606,-0.6698970992,-0.9981464303,0.5114889607,0.7658120854,0.0818781838,0.0903448452,-0.5746565429,1.0330025153,0.9340809222,0.7438585593,0.176237328,0.2773764376,0.1442255835,0.5173012138,0.904758327,1.1061364736,1.0997550262,0.8769405226
20160115,Guajira,JSC5069,Baja,Baja,73º26'8.4''W,-0.6993184691,0.1567002329,-0.792167005,-0.0522298325,0.9076738959,1.1699044908,-1.1299703494,-0.8639838986,0.1678078128,-0.8233708872,0.1737700462,-0.6701555758,-0.9981464303,0.4712048906,0.7798601252,0.2562286561,0.0930472232,-0.5702569845,1.0484457776,0.7826592721,0.5414271761,-0.1635232957,0.2719109832,0.0383463743,0.5293265798,0.5630193927,1.0539317314,1.10215456,0.9021364519
20161221,Guajira,302151,Media,Alta,"73º25'51.9""W",-0.3481897066,0.0033994397,-0.0450036339,0.968846986,0.2015313127,1.1751635524,-0.9087316693,-0.372795132,-1.1674926552,-0.8278593458,-0.3163173303,-0.4963687764,-0.9981464303,0.0394848597,-0.2790577141,-0.1851007623,-1.1247755041,-0.4442531904,0.3463794639,0.1262484788,-0.4802061356,-0.7908337263,0.1693851948,-0.1705648978,-0.5408236094,0.3335626221,0.958355786,0.9253682239,0.7482613493
20161223,Guajira,302151,Media,Alta,"73º25'51.9""W",-1.2929613693,-0.3414358975,0.3443871813,0.8880271194,-0.0311684389,0.9262553071,0.047400387,6.8123091415,-0.9210799679,-0.6948071532,-0.5226313594,-0.3454578661,-0.9981464303,-0.159858105,-1.4772066705,-0.4019893475,-0.9346981112,0.1428953359,0.5250332774,0.3330194508,-0.6770875253,-0.4033807807,0.037518993,-0.2108155913,-0.6917135419,-1.0453073784,0.1928864396,0.4129270031,0.3677031853
20161224,Guajira,302151,Media,Alta,"73º25'51.9""W",-0.2307517374,0.1143364082,0.1481913101,0.8069753102,0.0120092162,1.1387896211,-0.8425428617,0.2951767276,-1.036481597,-0.8905140711,-0.743356917,-0.4153470825,-0.9981464303,0.0102633914,-0.6326240782,-0.4956703842,-1.0314315422,-0.4169859577,0.4810959654,0.248956328,-0.3307740303,-0.0666352335,0.4052598121,0.0275133341,-0.6371899306,-0.9621798319,0.2791914265,0.6291385013,0.5751234628
20161225,Guajira,302151,Media,Alta,"73º25'51.9""W",0.0299487866,-0.4992470079,-0.1176277898,1.0277754059,-0.5904699322,0.7283992509,-0.4108847265,-0.3875547174,-1.0172828818,-0.8064873258,-0.6671943459,-0.3712125072,-0.9981464303,-0.4774501168,-0.160781188,-1.089710968,-0.9251521554,-0.2631901899,-0.8892435898,-0.7896680327,-1.2410116723,-0.550313954,-0.4144987585,-0.6902254435,-1.5018695756,-0.8702486683,-0.2522103864,-0.3207514313,-0.4998763481
20161231,Guajira,302151,Media,Alta,"73º25'51.9""W",0.3757333235,-0.1722236537,-0.003632634,1.4508417446,-0.4163526339,0.6135312994,-0.2275567877,0.5641041603,-0.9958446859,-0.8109295636,-0.5769461742,-0.3709322465,-0.9981464303,-0.4603182321,-0.0574626195,-0.8811938287,-0.9460664497,-0.4309426799,-0.346681555,-0.3802576128,-1.267979393,-0.6512989592,-0.216534552,-0.3272793335,-1.2002080946,-0.7999490526,-0.0923864898,0.0539315471,-0.277007566
20170101,Guajira,302151,Media,Alta,"73º25'51.9""W",0.3737921407,0.5224743368,0.6253914059,1.2885838059,0.0742202363,0.7547990672,-0.5116780288,0.1539393532,-1.1258743974,-0.7407881532,-0.5701748634,-0.4647726949,-0.9981464303,-0.2577366689,-0.9365318067,-0.5728611481,-1.0956654889,-0.4725031865,-0.0040625684,-0.39590148,-1.3286451008,-1.7339785847,-0.873414235,-0.4733014744,-1.3895318144,-0.57285278,0.2975327621,0.38386582,0.1272873497
